"epoch","class_error","loss","loss_ce","loss_bbox","loss_giou","AP","AP50","AP75","APs","APm","APl"
"0","0.00","7.3999","0.3241","0.1673","0.5397","0.442","0.670","0.466","0.256","0.512","0.636"
"5","27.27","1.2464","0.3820","0.2350","0.6093","0.313","0.557","0.301","0.145","0.369","0.516"
"10","18.18","1.3121","0.3523","0.2559","0.6263","0.298","0.532","0.289","0.140","0.357","0.480"
"15","9.09","1.2664","0.3604","0.2270","0.6452","0.303","0.545","0.295","0.143","0.366","0.495"
"20","18.18","1.2626","0.3851","0.2278","0.6259","0.306","0.539","0.293","0.144","0.366","0.481"
"25","18.18","1.3267","0.4046","0.2323","0.6143","0.318","0.553","0.315","0.153","0.369","0.498"
"30","18.18","1.3958","0.4025","0.2206","0.6084","0.298","0.538","0.288","0.141","0.358","0.476"
"35","18.18","1.2629","0.3857","0.2362","0.6129","0.297","0.531","0.287","0.140","0.365","0.460"
"40","27.27","1.2763","0.3887","0.2471","0.6444","0.284","0.518","0.270","0.123","0.343","0.460"
"50","18.18","1.2167","0.4065","0.2303","0.5861","0.290","0.519","0.283","0.138","0.339","0.462"
"60","18.18","1.2752","0.3599","0.2468","0.6282","0.302","0.530","0.296","0.144","0.363","0.465"
"70","18.18","1.3454","0.3841","0.2427","0.6157","0.280","0.509","0.266","0.123","0.342","0.437"
"80","18.18","1.2666","0.3895","0.2441","0.6243","0.294","0.532","0.279","0.139","0.349","0.450"
"90","9.09","1.3119","0.4016","0.2506","0.6328","0.292","0.524","0.279","0.143","0.347","0.454"
"95","36.36","1.2867","0.4173","0.2292","0.6160","0.296","0.526","0.284","0.148","0.358","0.440"
"100","18.18","1.3178","0.4374","0.2429","0.6358","0.292","0.518","0.284","0.148","0.347","0.446"
